도로등급,지점번호,년,월,일,방향,시간,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종,계
고속국도,00132-1,2012,10,18,1,0~1,899,33,81,101,86,60,88,6,0,14,0,2,1370
고속국도,00132-1,2012,10,18,1,1~2,620,19,37,107,63,43,44,6,0,19,0,4,962
고속국도,00132-1,2012,10,18,1,2~3,443,20,39,82,74,43,49,4,0,19,0,5,778
고속국도,00132-1,2012,10,18,1,3~4,307,18,42,152,90,59,85,6,0,24,0,3,786
고속국도,00132-1,2012,10,18,1,4~5,404,32,37,155,180,90,96,16,0,42,0,5,1057
고속국도,00132-1,2012,10,18,1,5~6,736,12,70,314,200,90,94,12,0,42,0,4,1574
고속국도,00132-1,2012,10,18,1,6~7,958,68,134,224,230,123,101,15,0,41,1,6,1901
고속국도,00132-1,2012,10,18,1,7~8,1703,159,186,293,191,122,114,18,0,56,2,7,2851
고속국도,00132-1,2012,10,18,1,8~9,2055,167,260,191,151,88,87,13,0,48,0,9,3069
고속국도,00132-1,2012,10,18,1,9~10,2404,355,295,216,154,94,102,16,1,57,0,7,3701
고속국도,00132-1,2012,10,18,1,10~11,2591,350,336,301,184,106,90,14,1,44,0,7,4024
고속국도,00132-1,2012,10,18,1,11~12,2822,300,469,293,199,102,104,11,0,34,0,9,4343
고속국도,00132-1,2012,10,18,1,12~13,2683,257,440,185,214,89,135,3,0,19,0,2,4027
고속국도,00132-1,2012,10,18,1,13~14,3269,266,475,220,218,124,112,6,0,19,0,3,4712
고속국도,00132-1,2012,10,18,1,14~15,3744,288,537,153,223,105,103,10,0,32,0,3,5198
고속국도,00132-1,2012,10,18,1,15~16,4225,322,598,164,149,91,94,11,0,25,0,5,5684
고속국도,00132-1,2012,10,18,1,16~17,5279,364,585,189,111,106,104,5,0,25,0,1,6769
고속국도,00132-1,2012,10,18,1,17~18,4772,416,563,115,167,89,77,2,0,15,0,0,6216
고속국도,00132-1,2012,10,18,1,18~19,4288,392,244,106,115,65,87,8,0,33,0,8,5346
고속국도,00132-1,2012,10,18,1,19~20,3217,297,213,135,83,72,56,8,0,25,0,6,4112
고속국도,00132-1,2012,10,18,1,20~21,2878,279,158,153,86,69,49,4,0,18,0,2,3696
고속국도,00132-1,2012,10,18,1,21~22,2691,251,162,143,98,63,50,5,0,23,0,2,3488
고속국도,00132-1,2012,10,18,1,22~23,2409,92,106,130,144,61,63,2,0,16,0,2,3025
고속국도,00132-1,2012,10,18,1,23~0,1415,54,79,126,123,56,47,8,0,33,0,5,1946
고속국도,00132-1,2012,10,18,2,0~1,696,35,89,75,66,39,52,15,0,41,0,7,1115
고속국도,00132-1,2012,10,18,2,1~2,470,14,92,48,53,22,32,12,0,37,0,8,788
고속국도,00132-1,2012,10,18,2,2~3,380,4,83,60,55,52,34,9,0,18,0,2,697
고속국도,00132-1,2012,10,18,2,3~4,295,6,124,49,54,32,29,3,0,14,0,0,606
고속국도,00132-1,2012,10,18,2,4~5,382,17,169,70,35,30,22,4,0,17,0,0,746
고속국도,00132-1,2012,10,18,2,5~6,965,22,284,101,67,60,47,10,0,24,0,1,1581
고속국도,00132-1,2012,10,18,2,6~7,1951,120,546,166,111,93,76,9,0,34,0,7,3113
고속국도,00132-1,2012,10,18,2,7~8,3482,351,617,214,124,73,61,12,0,27,0,6,4967
고속국도,00132-1,2012,10,18,2,8~9,4258,556,513,113,102,76,85,8,0,30,0,2,5743
고속국도,00132-1,2012,10,18,2,9~10,4259,575,535,166,202,114,137,12,0,49,0,4,6053
고속국도,00132-1,2012,10,18,2,10~11,4608,336,694,313,186,83,94,13,0,51,1,6,6385
고속국도,00132-1,2012,10,18,2,11~12,4024,342,659,252,194,108,122,23,0,79,2,10,5815
고속국도,00132-1,2012,10,18,2,12~13,4121,218,646,355,192,109,115,28,1,101,0,11,5897
고속국도,00132-1,2012,10,18,2,13~14,3851,233,646,270,188,136,123,15,0,81,3,11,5557
고속국도,00132-1,2012,10,18,2,14~15,3294,273,605,226,196,104,111,26,0,60,1,6,4902
고속국도,00132-1,2012,10,18,2,15~16,3193,264,556,210,260,111,118,27,0,93,0,10,4842
고속국도,00132-1,2012,10,18,2,16~17,3380,383,525,305,162,128,116,26,1,68,1,11,5106
고속국도,00132-1,2012,10,18,2,17~18,3342,351,445,241,172,105,97,17,1,72,0,12,4855
고속국도,00132-1,2012,10,18,2,18~19,2770,214,375,212,152,50,59,21,1,84,2,12,3952
고속국도,00132-1,2012,10,18,2,19~20,2194,295,268,164,178,76,71,23,0,81,2,6,3358
고속국도,00132-1,2012,10,18,2,20~21,1998,245,232,128,125,87,81,22,1,73,2,9,3003
고속국도,00132-1,2012,10,18,2,21~22,1794,121,180,124,147,119,77,25,0,78,1,11,2677
고속국도,00132-1,2012,10,18,2,22~23,1500,81,126,142,102,62,54,20,0,54,0,8,2149
고속국도,00132-1,2012,10,18,2,23~0,1139,70,82,123,79,56,52,21,0,50,0,8,1680
고속국도,00133,2012,10,18,1,0~1,1267,34,63,80,29,11,9,0,0,9,2,2,1506
고속국도,00133,2012,10,18,1,1~2,805,24,63,84,33,7,10,1,0,7,0,2,1036
고속국도,00133,2012,10,18,1,2~3,604,20,45,74,30,9,5,0,0,10,0,1,798
고속국도,00133,2012,10,18,1,3~4,481,28,49,99,50,17,22,0,0,13,1,6,766
고속국도,00133,2012,10,18,1,4~5,553,22,67,170,118,24,48,5,0,39,1,5,1052
고속국도,00133,2012,10,18,1,5~6,787,35,120,256,155,38,108,4,0,41,0,10,1554
고속국도,00133,2012,10,18,1,6~7,1101,61,195,238,120,42,46,1,1,38,3,4,1850
고속국도,00133,2012,10,18,1,7~8,1857,124,221,200,87,25,23,6,1,16,2,7,2569
고속국도,00133,2012,10,18,1,8~9,2407,208,234,200,55,21,10,3,0,18,2,4,3162
고속국도,00133,2012,10,18,1,9~10,2504,378,333,197,32,27,4,6,0,19,0,3,3503
고속국도,00133,2012,10,18,1,10~11,2560,337,416,219,37,28,6,9,0,17,1,2,3632
고속국도,00133,2012,10,18,1,11~12,2703,341,424,233,62,38,9,10,1,19,1,2,3843
고속국도,00133,2012,10,18,1,12~13,2710,292,407,202,93,43,26,6,0,11,0,0,3790
고속국도,00133,2012,10,18,1,13~14,3423,278,408,293,81,50,28,3,0,16,0,2,4582
고속국도,00133,2012,10,18,1,14~15,3723,323,576,259,101,29,24,3,0,14,2,0,5054
고속국도,00133,2012,10,18,1,15~16,4528,407,720,286,106,36,26,4,0,21,2,0,6136
고속국도,00133,2012,10,18,1,16~17,4527,396,655,206,55,23,13,3,0,10,0,0,5888
고속국도,00133,2012,10,18,1,17~18,4410,506,597,135,44,15,10,0,0,7,0,6,5730
고속국도,00133,2012,10,18,1,18~19,4126,482,564,115,49,11,7,0,1,6,0,0,5361
고속국도,00133,2012,10,18,1,19~20,3336,372,474,96,51,3,8,0,0,5,2,0,4347
고속국도,00133,2012,10,18,1,20~21,3142,316,319,87,61,12,4,0,0,5,0,0,3946
고속국도,00133,2012,10,18,1,21~22,3024,266,248,83,54,4,5,0,0,4,0,0,3688
고속국도,00133,2012,10,18,1,22~23,2533,191,167,99,41,8,9,1,1,4,1,0,3055
고속국도,00133,2012,10,18,1,23~0,1702,64,109,79,56,10,10,0,0,5,0,2,2037
고속국도,00133,2012,10,18,2,0~1,928,18,67,79,49,7,3,0,0,13,0,0,1164
고속국도,00133,2012,10,18,2,1~2,627,11,47,56,37,21,3,2,1,4,0,0,809
고속국도,00133,2012,10,18,2,2~3,511,3,45,66,38,16,3,2,1,1,0,2,688
고속국도,00133,2012,10,18,2,3~4,372,6,53,100,26,14,3,2,0,2,0,0,578
고속국도,00133,2012,10,18,2,4~5,486,1,75,120,31,9,3,0,0,9,0,0,734
고속국도,00133,2012,10,18,2,5~6,1100,1,182,217,47,23,13,4,0,14,0,3,1604
고속국도,00133,2012,10,18,2,6~7,2379,46,426,275,70,12,14,4,2,10,0,2,3240
