조사지점,방향,시간,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종,계
00133,0,1,2113,43,95,206,196,52,42,5,0,47,1,11,2811
00133,0,2,1301,19,69,232,162,39,23,6,1,19,1,1,1873
00133,0,3,869,5,55,239,156,55,32,2,0,32,0,4,1449
00133,0,4,783,12,46,275,166,31,36,7,0,40,0,5,1401
00133,0,5,1018,18,79,458,268,64,71,10,0,60,3,13,2062
00133,0,6,2479,32,134,790,561,146,156,7,1,59,3,15,4383
00133,0,7,5293,50,323,969,501,126,117,6,0,86,0,18,7489
00133,0,8,8190,319,444,766,348,127,73,20,0,44,0,10,10341
00133,0,9,9095,456,426,458,228,60,27,4,0,39,1,8,10802
00133,0,10,8776,625,340,489,250,73,48,28,1,33,2,3,10668
00133,0,11,8511,622,416,455,300,76,36,39,0,36,0,1,10492
00133,0,12,8423,527,579,585,273,65,40,31,0,36,0,6,10565
00133,0,13,8312,525,638,577,305,86,62,33,1,35,0,9,10583
00133,0,14,8316,489,652,598,261,94,63,19,2,35,1,10,10540
00133,0,15,8568,470,659,534,242,86,33,27,0,41,0,3,10663
00133,0,16,8806,647,662,515,267,84,40,22,3,43,1,9,11099
00133,0,17,9383,648,631,467,233,52,31,19,0,39,2,5,11510
00133,0,18,9253,552,535,365,214,42,40,13,1,23,0,3,11041
00133,0,19,8512,566,431,324,190,26,26,7,0,20,0,3,10105
00133,0,20,7067,558,282,313,182,24,21,3,0,18,0,3,8471
00133,0,21,6597,468,247,270,209,29,19,3,1,30,1,2,7876
00133,0,22,5871,264,203,278,298,102,26,3,0,37,0,7,7089
00133,0,23,4570,123,144,249,284,133,36,2,0,40,0,5,5586
00133,0,24,3259,79,103,239,227,73,34,3,0,43,0,5,4065
00133,0,25,100926,5930,6305,6778,3422,971,610,261,8,490,7,85,125793
00133,0,26,145365,8117,8193,10651,6321,1745,1132,319,11,935,16,159,182964
00133,1,1,1165,10,82,99,89,33,39,2,0,22,1,10,1552
00133,1,2,666,7,64,129,76,27,13,4,0,12,1,1,1000
00133,1,3,442,2,45,128,85,32,24,1,0,26,0,4,789
00133,1,4,407,7,38,122,104,25,33,3,0,30,0,5,774
00133,1,5,445,9,59,211,175,55,65,5,0,54,3,9,1090
00133,1,6,763,21,59,417,388,113,134,0,0,49,3,15,1962
00133,1,7,1427,21,168,478,307,109,92,2,0,67,0,17,2688
00133,1,8,2221,69,219,396,182,88,57,12,0,32,0,8,3284
00133,1,9,2910,128,247,236,144,35,24,4,0,25,0,7,3760
00133,1,10,3129,182,225,253,142,45,40,11,1,22,1,3,4054
00133,1,11,3165,246,291,282,174,42,24,19,0,30,0,0,4273
00133,1,12,3160,244,372,376,159,39,23,17,0,31,0,5,4426
00133,1,13,3439,237,390,335,169,38,31,10,1,24,0,4,4678
00133,1,14,3708,227,399,332,150,45,36,8,0,22,0,7,4934
00133,1,15,4163,240,467,274,138,42,21,10,0,18,0,2,5375
00133,1,16,4739,311,456,284,119,40,18,7,1,19,0,3,5997
00133,1,17,5421,268,490,245,129,25,14,5,0,19,1,1,6618
00133,1,18,5221,263,433,176,97,19,22,2,1,9,0,1,6244
