연도,시간대,교통량
2007,00시~01시,3625.75
2007,01시~02시,2531.375
2007,02시~03시,1822.625
2007,03시~04시,1554.375
2007,04시~05시,1668.25
2007,05시~06시,2780.375
2007,06시~07시,5886.125
2007,07시~08시,7888.75
2007,08시~09시,9239.125
2007,09시~10시,10296.875
2007,10시~11시,10269.75
2007,11시~12시,10558.75
2007,12시~13시,9795.625
2007,13시~14시,10122.0
2007,14시~15시,10357.125
2007,15시~16시,10898.125
2007,16시~17시,10914.75
2007,17시~18시,10281.625
2007,18시~19시,8954.75
2007,19시~20시,8357.875
2007,20시~21시,7120.125
2007,21시~22시,7064.5
2007,22시~23시,6085.875
2007,23시~00시,4904.625
2012,00시~01시,3508.5
2012,01시~02시,2439.375
2012,02시~03시,1802.25
2012,03시~04시,1579.875
2012,04시~05시,1936.25
2012,05시~06시,3878.375
2012,06시~07시,7509.625
2012,07시~08시,9963.625
2012,08시~09시,10670.125
2012,09시~10시,10642.625
2012,10시~11시,10548.625
2012,11시~12시,10512.0
2012,12시~13시,10033.125
2012,13시~14시,10540.875
2012,14시~15시,10191.875
2012,15시~16시,10684.25
2012,16시~17시,10778.375
2012,17시~18시,10415.375
2012,18시~19시,9733.625
2012,19시~20시,8410.25
2012,20시~21시,7908.375
2012,21시~22시,7554.375
2012,22시~23시,6587.75
2012,23시~00시,4907.25
2017,00시~01시,5361.714285714285
2017,01시~02시,3723.1428571428573
2017,02시~03시,2563.5714285714284
2017,03시~04시,1893.0
2017,04시~05시,1736.5714285714287
2017,05시~06시,2403.714285714286
2017,06시~07시,5642.571428571428
2017,07시~08시,9860.0
2017,08시~09시,10900.42857142857
2017,09시~10시,11021.142857142857
2017,10시~11시,10851.42857142857
2017,11시~12시,10695.857142857143
2017,12시~13시,10476.42857142857
2017,13시~14시,10292.57142857143
2017,14시~15시,10767.42857142857
2017,15시~16시,10585.714285714286
2017,16시~17시,11014.714285714286
2017,17시~18시,11250.42857142857
2017,18시~19시,10897.714285714286
2017,19시~20시,10299.714285714286
2017,20시~21시,9488.0
2017,21시~22시,8782.142857142857
2017,22시~23시,8331.0
2017,23시~00시,7048.857142857143
2020,00시~01시,4144.5
2020,01시~02시,2938.5
2020,02시~03시,2068.5
2020,03시~04시,1656.0
2020,04시~05시,1922.5
2020,05시~06시,3984.0
2020,06시~07시,8840.0
2020,07시~08시,10670.0
2020,08시~09시,8328.5
2020,09시~10시,8464.5
2020,10시~11시,8280.5
2020,11시~12시,8037.5
2020,12시~13시,7991.5
2020,13시~14시,8681.0
2020,14시~15시,8208.5
2020,15시~16시,8468.5
2020,16시~17시,8328.0
2020,17시~18시,8635.5
2020,18시~19시,7798.5
2020,19시~20시,7936.5
2020,20시~21시,8930.5
2020,21시~22시,8519.5
2020,22시~23시,7942.0
2020,23시~24시,6115.5
