연도,시간대,교통량
2007,01시~02시,1518
2007,02시~03시,1250
2007,03시~04시,1263
2007,04시~05시,1507
2007,05시~06시,2458
2007,06시~07시,4511
2007,07시~08시,6270
2007,08시~09시,7736
2007,09시~10시,9093
2007,10시~11시,9403
2007,11시~12시,9172
2007,12시~13시,8919
2007,13시~14시,8704
2007,14시~15시,9708
2007,15시~16시,9852
2007,16시~17시,10068
2007,17시~18시,9639
2007,18시~19시,7397
2007,19시~20시,6268
2007,20시~21시,5639
2007,21시~22시,5075
2007,22시~23시,4034
2007,23시~00시,3070
2007,00시~01시,2149
2007,01시~02시,1169
2007,02시~03시,1059
2007,03시~04시,1028
2007,04시~05시,1116
2007,05시~06시,1585
2007,06시~07시,2582
2007,07시~08시,2721
2007,08시~09시,5232
2007,09시~10시,7871
2007,10시~11시,8008
2007,11시~12시,7996
2007,12시~13시,7777
2007,13시~14시,7612
2007,14시~15시,8308
2007,15시~16시,8613
2007,16시~17시,8911
2007,17시~18시,8218
2007,18시~19시,7039
2007,19시~20시,6162
2007,20시~21시,5605
2007,21시~22시,4859
2007,22시~23시,3780
2007,23시~00시,2671
2007,00시~01시,1939
2007,01시~02시,1746
2007,02시~03시,1352
2007,03시~04시,1270
2007,04시~05시,1670
2007,05시~06시,2815
2007,06시~07시,5261
2007,07시~08시,6930
2007,08시~09시,8282
2007,09시~10시,11097
2007,10시~11시,8143
2007,11시~12시,9652
2007,12시~13시,7655
2007,13시~14시,7134
2007,14시~15시,6214
2007,15시~16시,8877
2007,16시~17시,9249
2007,17시~18시,6386
2007,18시~19시,5975
2007,19시~20시,5236
2007,20시~21시,4010
2007,21시~22시,4635
2007,22시~23시,4024
2007,23시~00시,3343
2007,00시~01시,2465
2007,01시~02시,2038
2007,02시~03시,1444
2007,03시~04시,1359
2007,04시~05시,1608
2007,05시~06시,3290
2007,06시~07시,6859
2007,07시~08시,8352
2007,08시~09시,8850
2007,09시~10시,10592
2007,10시~11시,11084
2007,11시~12시,10726
2007,12시~13시,9379
2007,13시~14시,10137
2007,14시~15시,10572
2007,15시~16시,11213
2007,16시~17시,10943
2007,17시~18시,10108
2007,18시~19시,8618
2007,19시~20시,8932
2007,20시~21시,6922
2007,21시~22시,6419
2007,22시~23시,5076
2007,23시~00시,3978
2007,00시~01시,2763
2007,01시~02시,2228
2007,02시~03시,1565
2007,03시~04시,1450
2007,04시~05시,1725
2007,05시~06시,3644
2007,06시~07시,7719
2007,07시~08시,10284
2007,08시~09시,11745
2007,09시~10시,11609
2007,10시~11시,12783
2007,11시~12시,12712
2007,12시~13시,11247
2007,13시~14시,12213
2007,14시~15시,12413
2007,15시~16시,13047
2007,16시~17시,12183
2007,17시~18시,11200
